species_id;species;video_name;frame;bounding_boxes
2;Squacco Heron;004-squacco_heron;0;[(490.64, 168.22, 719.26, 694.64, 4, 0)]
2;Squacco Heron;004-squacco_heron;10;[(492.0, 149.0, 720.0, 675.0, 4, 0)]
2;Squacco Heron;004-squacco_heron;20;[(486.0, 153.0, 714.0, 679.0, 4, 0)]
2;Squacco Heron;004-squacco_heron;30;[(493.0, 174.0, 721.0, 700.0, 4, 0)]
2;Squacco Heron;004-squacco_heron;40;[(492.0, 189.0, 720.0, 715.0, 4, 0)]
2;Squacco Heron;004-squacco_heron;50;[(499.0, 203.51, 727.0, 720.0, 4, 0)]
2;Squacco Heron;004-squacco_heron;60;[(501.0, 198.0, 729.0, 709.0, 4, 0)]
2;Squacco Heron;004-squacco_heron;70;[(508.0, 208.0, 736.0, 719.0, 4, 0)]
2;Squacco Heron;004-squacco_heron;80;[(510.88, 215.75, 738.88, 706.75, 4, 0)]
2;Squacco Heron;004-squacco_heron;90;[(516.0, 211.0, 744.0, 719.0, 4, 0)]
2;Squacco Heron;004-squacco_heron;100;[(509.5, 183.9, 737.5, 707.64, 4, 0)]
2;Squacco Heron;004-squacco_heron;110;[(510.0, 167.0, 738.0, 690.0, 4, 0)]
2;Squacco Heron;004-squacco_heron;120;[(509.0, 185.0, 737.0, 708.0, 4, 0)]
2;Squacco Heron;004-squacco_heron;130;[(505.0, 175.0, 733.0, 698.0, 4, 0)]
2;Squacco Heron;004-squacco_heron;140;[(515.0, 181.0, 737.0, 704.0, 4, 0)]
2;Squacco Heron;004-squacco_heron;150;[(504.0, 188.0, 726.0, 711.0, 4, 0)]
2;Squacco Heron;004-squacco_heron;160;[(515.0, 233.0, 737.0, 712.0, 4, 0)]
2;Squacco Heron;004-squacco_heron;170;[(507.0, 231.0, 829.0, 710.0, 4, 0)]
2;Squacco Heron;004-squacco_heron;180;[(492.0, 197.0, 844.0, 689.0, 4, 0)]
2;Squacco Heron;004-squacco_heron;190;[(487.0, 196.0, 839.0, 695.2, 4, 0)]
2;Squacco Heron;004-squacco_heron;200;[(494.0, 233.7, 846.0, 719.0, 4, 0)]
2;Squacco Heron;004-squacco_heron;210;[(491.0, 226.0, 843.0, 711.0, 4, 0)]
4;Yellow-legged Gull;006-yellow_legged_gull;0;[(1065.18, 320.0, 1643.68, 664.0, 3, 0), (1023.0, 319.0, 1251.0, 517.0, 0, 1)]
4;Yellow-legged Gull;006-yellow_legged_gull;10;[(1074.0, 319.0, 1634.0, 663.0, 3, 0), (1023.0, 318.0, 1251.0, 516.0, 0, 1)]
4;Yellow-legged Gull;006-yellow_legged_gull;20;[(1084.5, 299.0, 1632.5, 663.5, 3, 0), (1029.7, 297.1, 1251.0, 517.0, 0, 1)]
4;Yellow-legged Gull;006-yellow_legged_gull;30;[(1086.19, 299.0, 1634.19, 668.5, 3, 0), (1016.6, 298.5, 1248.0, 515.0, 0, 1)]
